review_id,restaurant,rating,comment,date
1,Café Central,Péssimo,"Ambiente agradável, voltarei em breve.",2024-06-20
2,Churrascaria do Zé,Excelente,Preço alto para a qualidade oferecida.,2024-04-08
3,Sushi House,Ruim,"Atendimento excelente, comida fresca.",2024-03-16
4,Churrascaria do Zé,Excelente,Melhor pizza da cidade! Recomendo.,2024-03-15
5,Pizzaria Bella,Péssimo,Cardápio limitado.,2024-12-20
6,Churrascaria do Zé,Ruim,"Atendimento excelente, comida fresca.",2024-06-14
7,Pizzaria Bella,Bom,"Demorou um pouco, mas valeu a pena.",2024-12-18
8,Churrascaria do Zé,Ruim,"Demorou um pouco, mas valeu a pena.",2024-08-25
9,Café Central,Péssimo,Melhor pizza da cidade! Recomendo.,2024-09-26
10,Churrascaria do Zé,Bom,Preço alto para a qualidade oferecida.,2024-11-27
11,Café Central,Bom,"Demorou um pouco, mas valeu a pena.",2024-04-25
12,Sushi House,Ruim,"Atendimento excelente, comida fresca.",2024-04-22
13,Sushi House,Regular,Preço alto para a qualidade oferecida.,2024-10-28
14,Hamburgueria Artesanal,Péssimo,Melhor pizza da cidade! Recomendo.,2024-02-17
15,Churrascaria do Zé,Péssimo,"Demorou um pouco, mas valeu a pena.",2024-08-17
16,Hamburgueria Artesanal,Regular,Melhor pizza da cidade! Recomendo.,2024-12-12
17,Churrascaria do Zé,Excelente,Serviço rápido e preços justos.,2024-02-19
18,Sushi House,Excelente,Preço alto para a qualidade oferecida.,2024-02-02
19,Pizzaria Bella,Péssimo,Preço alto para a qualidade oferecida.,2024-09-17
20,Hamburgueria Artesanal,Regular,Preço alto para a qualidade oferecida.,2024-04-19
21,Hamburgueria Artesanal,Regular,"Ambiente agradável, voltarei em breve.",2024-09-05
22,Sushi House,Bom,Cardápio limitado.,2024-03-11
23,Sushi House,Excelente,"Ambiente agradável, voltarei em breve.",2024-09-15
24,Pizzaria Bella,Excelente,"Atendimento excelente, comida fresca.",2024-02-22
25,Hamburgueria Artesanal,Bom,Preço alto para a qualidade oferecida.,2024-04-23
26,Sushi House,Ruim,Cardápio limitado.,2024-10-16
27,Sushi House,Excelente,Preço alto para a qualidade oferecida.,2024-02-17
28,Pizzaria Bella,Bom,Cardápio limitado.,2024-08-26
29,Pizzaria Bella,Regular,"Demorou um pouco, mas valeu a pena.",2024-01-15
30,Café Central,Ruim,"Atendimento excelente, comida fresca.",2024-03-17
31,Churrascaria do Zé,Péssimo,Cardápio limitado.,2024-07-15
32,Café Central,Regular,"Atendimento excelente, comida fresca.",2024-10-02
33,Pizzaria Bella,Ruim,Melhor pizza da cidade! Recomendo.,2024-09-15
34,Sushi House,Bom,Preço alto para a qualidade oferecida.,2024-11-26
35,Pizzaria Bella,Regular,"Demorou um pouco, mas valeu a pena.",2024-05-24
36,Hamburgueria Artesanal,Ruim,Melhor pizza da cidade! Recomendo.,2024-01-13
37,Sushi House,Péssimo,Cardápio limitado.,2024-05-27
38,Café Central,Regular,"Ambiente agradável, voltarei em breve.",2024-01-24
39,Café Central,Regular,Cardápio limitado.,2024-04-19
40,Café Central,Excelente,Serviço rápido e preços justos.,2024-02-02
41,Sushi House,Ruim,Preço alto para a qualidade oferecida.,2024-07-12
42,Churrascaria do Zé,Ruim,Cardápio limitado.,2024-12-03
43,Churrascaria do Zé,Excelente,"Atendimento excelente, comida fresca.",2024-09-02
44,Churrascaria do Zé,Bom,Cardápio limitado.,2024-02-16
45,Pizzaria Bella,Bom,Preço alto para a qualidade oferecida.,2024-01-10
